id	type	params_key	value	timestamp	activity_id	event
638	GetValue	cmi.core.lesson_status	incomplete	9/9/2019, 6:04:03 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/bigbrute	on launch
639	SetValue	cmi.core.lesson_status	incomplete	9/9/2019, 6:04:06 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/bigbrute	on launch
640	SetValue	cmi.suspend_data	viewed=1|lastviewedslide=1|0#2##,11,1,1,1,0,0,0,1,1,1###-1	9/9/2019, 6:04:09 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/bigbrute	on launch
641	SetValue	cmi.core.lesson_status	incomplete	9/9/2019, 6:04:24 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/bigbrute	on launch
642	SetValue	cmi.suspend_data	viewed=1,2|lastviewedslide=2|1#2##,7,11,1,1,0,0,0,1,1,1###-1	9/9/2019, 6:04:27 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/bigbrute	on launch
643	SetValue	cmi.core.lesson_status	incomplete	9/9/2019, 6:04:39 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/bigbrute	on launch
644	SetValue	cmi.suspend_data	viewed=1,2,3|lastviewedslide=3|2#2##,7,7,11,1,0,0,0,1,1,1###-1	9/9/2019, 6:04:42 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/bigbrute	on launch
645	SetValue	cmi.core.lesson_status	incomplete	9/9/2019, 6:05:04 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/bigbrute	on checkbox button click
646	SetValue	cmi.suspend_data	viewed=1,2,3,4|lastviewedslide=4|2#1##,7,7,3,27,1,1,1,1,1,1###-1	9/9/2019, 6:05:07 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/bigbrute	on checkbox button click
647	SetValue	cmi.core.lesson_status	incomplete	9/9/2019, 6:05:12 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/bigbrute	on checkbox button click
648	SetValue	cmi.suspend_data	viewed=1,2,3,4,5|lastviewedslide=5|4#1##,7,7,3,23,27,1,1,1,1,1###-1	9/9/2019, 6:05:15 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/bigbrute	on checkbox button click
649	SetValue	cmi.core.lesson_status	incomplete	9/9/2019, 6:05:31 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/bigbrute	on checkbox button click
650	SetValue	cmi.suspend_data	viewed=1,2,3,4,5,6|lastviewedslide=6|5#1##,7,7,3,23,23,27,1,1,1,1###-1	9/9/2019, 6:05:34 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/bigbrute	on checkbox button click
651	SetValue	cmi.core.lesson_status	incomplete	9/9/2019, 6:06:10 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/bigbrute	on checkbox button click
652	SetValue	cmi.suspend_data	viewed=1,2,3,4,5,6,7|lastviewedslide=7|6#1##,7,7,3,23,23,23,27,1,1,1###-1	9/9/2019, 6:06:13 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/bigbrute	on checkbox button click
653	SetValue	cmi.core.lesson_status	incomplete	9/9/2019, 6:06:47 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/bigbrute	on checkbox button click
654	SetValue	cmi.suspend_data	viewed=1,2,3,4,5,6,7,8|lastviewedslide=8|7#1##,7,7,3,23,23,23,23,11,1,1###-1	9/9/2019, 6:06:50 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/bigbrute	on checkbox button click
655	SetValue	cmi.suspend_data	viewed=1,2,3,4,5,6,7,8|lastviewedslide=8|8#1##,7,7,3,23,23,23,23,15,1,1###-1	9/9/2019, 6:07:02 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/bigbrute	on checkbox button click
