id	type	params_key	value	timestamp	activity_id	event
1	GetValue	cmi.launch_data		9/9/2019, 4:57:50 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/democaptivate1.2	on launch
2	GetValue	cmi.core.entry	ab-initio	9/9/2019, 4:57:52 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/democaptivate1.2	on launch
3	GetValue	cmi.core.lesson_location		9/9/2019, 4:57:59 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/democaptivate1.2	on launch
4	GetValue	cmi.student_preference.language	undefined	9/9/2019, 4:58:01 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/democaptivate1.2	on launch
5	GetValue	cmi.student_preference.audio	undefined	9/9/2019, 4:58:03 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/democaptivate1.2	on launch
6	GetValue	cmi.student_preference.speed	undefined	9/9/2019, 4:58:05 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/democaptivate1.2	on launch
7	GetValue	cmi.student_preference.text	undefined	9/9/2019, 4:58:07 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/democaptivate1.2	on launch
8	GetValue	cmi.core.credit	credit	9/9/2019, 4:58:09 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/democaptivate1.2	on launch
9	GetValue	cmi.core.lesson_mode	undefined	9/9/2019, 4:58:11 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/democaptivate1.2	on launch
10	GetValue	cmi.suspend_data		9/9/2019, 4:58:13 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/democaptivate1.2	on launch
11	GetValue	cmi.core.total_time	0000:00:00	9/9/2019, 4:58:15 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/democaptivate1.2	on launch
12	GetValue	cmi.core.student_id	007	9/9/2019, 4:58:18 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/democaptivate1.2	on launch
