id	type	params_key	value	timestamp	activity_id	event
791	GetValue	cmi.launch_data		9/9/2019, 6:34:11 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/fmla	on launch
792	GetValue	cmi.core.entry	resume	9/9/2019, 6:34:13 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/fmla	on launch
793	GetValue	cmi.core.lesson_location		9/9/2019, 6:34:16 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/fmla	on launch
794	GetValue	cmi.student_preference.language		9/9/2019, 6:34:18 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/fmla	on launch
795	GetValue	cmi.student_preference.audio		9/9/2019, 6:34:20 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/fmla	on launch
796	GetValue	cmi.student_preference.speed		9/9/2019, 6:34:23 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/fmla	on launch
797	GetValue	cmi.student_preference.text		9/9/2019, 6:34:25 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/fmla	on launch
798	GetValue	cmi.core.credit	credit	9/9/2019, 6:34:27 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/fmla	on launch
799	GetValue	cmi.core.lesson_mode		9/9/2019, 6:34:29 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/fmla	on launch
800	GetValue	cmi.suspend_data	1t45060ji1001012a01011010120000	9/9/2019, 6:34:31 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/fmla	on launch
801	GetValue	cmi.core.total_time	0000:00:00	9/9/2019, 6:34:33 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/fmla	on launch
802	GetValue	cmi.core.student_id	007	9/9/2019, 6:34:35 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/fmla	on launch
803	Statement	Statement	"{\\"actor\\":{\\"mbox\\":\\"mailto:deepak@nextsoftwaresolutions.com\\",\\"name\\":\\"nsstester\\",\\"objectType\\":\\"Agent\\"},\\"verb\\":{\\"id\\":\\"http://adlnet.gov/expapi/verbs/attempted\\",\\"display\\":{\\"de-DE\\":\\"versuchte\\",\\"en-US\\":\\"attempted\\",\\"fr-FR\\":\\"a essayé\\",\\"es-ES\\":\\"intentó\\",\\"ar-AR\\":\\"حاول\\"}},\\"object\\":{\\"id\\":\\"http://nss-grassblade.com/wordpress/gb_xapi_content/fmla\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/lesson\\"}},\\"context\\":{\\"contextActivities\\":{\\"grouping\\":[{\\"id\\":\\"http://nss-grassblade.com/wordpress/gb_xapi_content/fmla?attemptId=39143de1-9048-441d-e6e8-2dffc64456da\\",\\"objectType\\":\\"Activity\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/attempt\\"}},{\\"id\\":\\"\\",\\"objectType\\":\\"Activity\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/course\\"}},\\"\\"],\\"category\\":[{\\"id\\":\\"https://w3id.org/xapi/scorm\\"}]},\\"registration\\":\\"3df62ee6-8091-48ce-c271-e1b72a2f5a09\\"},\\"id\\":\\"1a7841bd-6ace-45f4-b667-a3b6c3da44cb\\"}"	9/9/2019, 6:34:37 PM		on launch
804	GetValue	cmi.core.lesson_mode		9/9/2019, 6:34:42 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/fmla	on launch
