id	type	params_key	value	timestamp	activity_id	event
217	GetValue	cmi.core.score.max	100	9/9/2019, 5:20:31 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/democaptivate1.2	on clicking exit button
218	Statement	Statement	"{\\"actor\\":{\\"mbox\\":\\"mailto:deepak@nextsoftwaresolutions.com\\",\\"name\\":\\"nsstester\\",\\"objectType\\":\\"Agent\\"},\\"verb\\":{\\"id\\":\\"http://adlnet.gov/expapi/verbs/suspended\\",\\"display\\":{\\"de-DE\\":\\"pausierte\\",\\"en-US\\":\\"suspended\\",\\"fr-FR\\":\\"a suspendu\\",\\"es-ES\\":\\"aplazó\\",\\"ar-AR\\":\\"علق\\"}},\\"object\\":{\\"id\\":\\"http://nss-grassblade.com/wordpress/gb_xapi_content/democaptivate1.2\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/lesson\\"}},\\"context\\":{\\"contextActivities\\":{\\"grouping\\":[{\\"id\\":\\"http://nss-grassblade.com/wordpress/gb_xapi_content/democaptivate1.2?attemptId=09f0fffe-7dd1-4a17-aaa5-d840bce4a2f0\\",\\"objectType\\":\\"Activity\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/attempt\\"}},{\\"id\\":\\"\\",\\"objectType\\":\\"Activity\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/course\\"}},\\"\\"],\\"category\\":[{\\"id\\":\\"https://w3id.org/xapi/scorm\\"}]},\\"registration\\":\\"d6091cf1-81c4-4866-806e-51b3698ad936\\"},\\"result\\":{\\"completion\\":true,\\"score\\":{\\"scaled\\":1,\\"raw\\":100,\\"min\\":0,\\"max\\":100}},\\"id\\":\\"e0abf764-8981-41bc-a3b0-fef00e9b2dbe\\"}"	9/9/2019, 5:20:33 PM		on clicking exit button
219	GetValue	cmi.launch_data		9/9/2019, 5:25:38 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2	on launch
220	GetValue	cmi.core.entry	ab-initio	9/9/2019, 5:25:40 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2	on launch
221	GetValue	cmi.core.lesson_location		9/9/2019, 5:25:45 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2	on launch
222	GetValue	cmi.student_preference.language		9/9/2019, 5:25:47 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2	on launch
223	GetValue	cmi.student_preference.audio		9/9/2019, 5:25:49 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2	on launch
224	GetValue	cmi.student_preference.speed		9/9/2019, 5:25:51 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2	on launch
225	GetValue	cmi.student_preference.text		9/9/2019, 5:25:53 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2	on launch
226	GetValue	cmi.core.credit	credit	9/9/2019, 5:25:55 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2	on launch
227	GetValue	cmi.core.lesson_mode		9/9/2019, 5:25:57 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2	on launch
228	GetValue	cmi.suspend_data		9/9/2019, 5:25:59 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2	on launch
229	GetValue	cmi.core.total_time	0000:00:00	9/9/2019, 5:26:01 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2	on launch
230	GetValue	cmi.core.student_id	007	9/9/2019, 5:26:04 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2	on launch
231	Statement	Statement	"{\\"actor\\":{\\"mbox\\":\\"mailto:deepak@nextsoftwaresolutions.com\\",\\"name\\":\\"nsstester\\",\\"objectType\\":\\"Agent\\"},\\"verb\\":{\\"id\\":\\"http://adlnet.gov/expapi/verbs/attempted\\",\\"display\\":{\\"de-DE\\":\\"versuchte\\",\\"en-US\\":\\"attempted\\",\\"fr-FR\\":\\"a essayé\\",\\"es-ES\\":\\"intentó\\",\\"ar-AR\\":\\"حاول\\"}},\\"object\\":{\\"id\\":\\"http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/lesson\\"}},\\"context\\":{\\"contextActivities\\":{\\"grouping\\":[{\\"id\\":\\"http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2?attemptId=2c501c26-79a5-4ddc-c3a7-453be8bd680a\\",\\"objectType\\":\\"Activity\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/attempt\\"}},{\\"id\\":\\"\\",\\"objectType\\":\\"Activity\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/course\\"}},\\"\\"],\\"category\\":[{\\"id\\":\\"https://w3id.org/xapi/scorm\\"}]},\\"registration\\":\\"cfe774a4-610a-40a9-a752-d840db9256bf\\"},\\"id\\":\\"48999763-ce65-438e-8ae7-844adc461418\\"}"	9/9/2019, 5:26:06 PM		on launch
232	GetValue	cmi.suspend_data		9/9/2019, 5:26:11 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2	on launch
233	SetValue	cmi.core.session_time	00:00:00	9/9/2019, 5:26:14 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2	on launch
234	SetValue	cmi.suspend_data	N4IgJiBcCMAcBsAaEAbKBaayBuUDaAusgGr4AMiWATIgMxEgAOUoKAhgM4AuxAlgKYB3fmADKKXmH5QKIbAMEARAK4AnNl14B7AHYzkHCVNFcN/DixBlLAYy0BbRin5cRUAGZsUHfjl4deVwhILlVlXzl/QJEACQBPRn5VCR0AawtIQgBfHOQARxYcoAAA==	9/9/2019, 5:26:16 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2	on launch
235	SetValue	cmi.core.score.raw	0	9/9/2019, 5:26:18 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2	on launch
236	Statement	Statement	"{\\"actor\\":{\\"mbox\\":\\"mailto:deepak@nextsoftwaresolutions.com\\",\\"name\\":\\"nsstester\\",\\"objectType\\":\\"Agent\\"},\\"verb\\":{\\"id\\":\\"http://adlnet.gov/expapi/verbs/scored\\",\\"display\\":{\\"de-DE\\":\\"erreichte\\",\\"en-US\\":\\"scored\\",\\"fr-FR\\":\\"a marqué\\",\\"es-ES\\":\\"anotó\\",\\"ar-AR\\":\\"سحل النقاط\\"}},\\"object\\":{\\"id\\":\\"http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/lesson\\"}},\\"context\\":{\\"contextActivities\\":{\\"grouping\\":[{\\"id\\":\\"http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2?attemptId=2c501c26-79a5-4ddc-c3a7-453be8bd680a\\",\\"objectType\\":\\"Activity\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/attempt\\"}},{\\"id\\":\\"\\",\\"objectType\\":\\"Activity\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/course\\"}},\\"\\"],\\"category\\":[{\\"id\\":\\"https://w3id.org/xapi/scorm\\"}]},\\"registration\\":\\"cfe774a4-610a-40a9-a752-d840db9256bf\\"},\\"result\\":{\\"score\\":{\\"scaled\\":0}},\\"id\\":\\"aa291a58-27bc-440b-aadd-ed2cac671186\\"}"	9/9/2019, 5:26:20 PM		on launch
237	SetValue	cmi.core.score.min	0	9/9/2019, 5:26:22 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2	on launch
238	SetValue	cmi.core.score.max	110	9/9/2019, 5:26:24 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2	on launch
239	SetValue	cmi.core.lesson_status	incomplete	9/9/2019, 5:26:26 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2	on launch
240	SetValue	cmi.core.session_time	00:00:14	9/9/2019, 5:26:28 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/ispring1.2	on launch
