id	type	params_key	value	timestamp	activity_id	event
985	GetValue	cmi.launch_data		9/9/2019, 7:06:41 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on launch
986	GetValue	cmi.core.entry	ab-initio	9/9/2019, 7:06:44 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on launch
987	GetValue	cmi.core.lesson_location		9/9/2019, 7:06:48 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on launch
988	GetValue	cmi.student_preference.language		9/9/2019, 7:06:50 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on launch
989	GetValue	cmi.student_preference.audio		9/9/2019, 7:06:52 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on launch
990	GetValue	cmi.student_preference.speed		9/9/2019, 7:06:54 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on launch
991	GetValue	cmi.student_preference.text		9/9/2019, 7:06:56 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on launch
992	GetValue	cmi.core.credit	credit	9/9/2019, 7:06:58 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on launch
993	GetValue	cmi.core.lesson_mode		9/9/2019, 7:07:00 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on launch
994	GetValue	cmi.suspend_data		9/9/2019, 7:07:02 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on launch
995	GetValue	cmi.core.total_time	0000:00:00	9/9/2019, 7:07:04 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on launch
996	GetValue	cmi.core.student_id	007	9/9/2019, 7:07:07 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on launch
997	Statement	Statement	"{\\"actor\\":{\\"mbox\\":\\"mailto:deepak@nextsoftwaresolutions.com\\",\\"name\\":\\"nsstester\\",\\"objectType\\":\\"Agent\\"},\\"verb\\":{\\"id\\":\\"http://adlnet.gov/expapi/verbs/attempted\\",\\"display\\":{\\"de-DE\\":\\"versuchte\\",\\"en-US\\":\\"attempted\\",\\"fr-FR\\":\\"a essayé\\",\\"es-ES\\":\\"intentó\\",\\"ar-AR\\":\\"حاول\\"}},\\"object\\":{\\"id\\":\\"http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/lesson\\"}},\\"context\\":{\\"contextActivities\\":{\\"grouping\\":[{\\"id\\":\\"http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic?attemptId=0f7ff49e-aaae-4339-a5b5-be41b1a815ac\\",\\"objectType\\":\\"Activity\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/attempt\\"}},{\\"id\\":\\"\\",\\"objectType\\":\\"Activity\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/course\\"}},\\"\\"],\\"category\\":[{\\"id\\":\\"https://w3id.org/xapi/scorm\\"}]},\\"registration\\":\\"71b6f8ce-e63b-475e-a8c1-62544759cbb4\\"},\\"id\\":\\"38d335a7-4f6d-480c-8db6-018232c5b191\\"}"	9/9/2019, 7:07:09 PM		on launch
998	GetValue	cmi.core.total_time	0000:00:00	9/9/2019, 7:07:14 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on launch
999	SetValue	cmi.core.lesson_location	index.html	9/9/2019, 7:07:16 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on launch
1000	SetValue	cmi.core.lesson_status	incomplete	9/9/2019, 7:07:18 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on launch
1001	SetValue	cmi.interactions.0.id	Q1	9/9/2019, 7:07:20 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on launch
1002	SetValue	cmi.interactions.1.id	A1	9/9/2019, 7:07:22 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on launch
1003	SetValue	cmi.interactions.0.type	matching	9/9/2019, 7:08:46 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on clicking check answers
1004	SetValue	cmi.interactions.0.student_response	Q1: b ,c ,a 	9/9/2019, 7:08:48 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on clicking check answers
1005	Statement	Statement	"{\\"actor\\":{\\"mbox\\":\\"mailto:deepak@nextsoftwaresolutions.com\\",\\"name\\":\\"nsstester\\",\\"objectType\\":\\"Agent\\"},\\"verb\\":{\\"id\\":\\"http://adlnet.gov/expapi/verbs/answered\\",\\"display\\":{\\"de-DE\\":\\"beantwortete\\",\\"en-US\\":\\"answered\\",\\"fr-FR\\":\\"a répondu\\",\\"es-ES\\":\\"contestó\\",\\"ar-AR\\":\\"أجاب\\"}},\\"object\\":{\\"objectType\\":\\"Activity\\",\\"id\\":\\"http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic/interactions/Q1\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/cmi.interaction\\",\\"interactionType\\":\\"matching\\",\\"correctResponsesPattern\\":[],\\"source\\":[],\\"target\\":[]}},\\"context\\":{\\"contextActivities\\":{\\"parent\\":[{\\"id\\":\\"http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic\\",\\"objectType\\":\\"Activity\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/lesson\\"}}],\\"grouping\\":[{\\"id\\":\\"http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic?attemptId=0f7ff49e-aaae-4339-a5b5-be41b1a815ac\\",\\"objectType\\":\\"Activity\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/attempt\\"}},{\\"id\\":\\"\\",\\"objectType\\":\\"Activity\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/course\\"}},\\"\\"],\\"category\\":[{\\"id\\":\\"https://w3id.org/xapi/scorm\\"}]},\\"registration\\":\\"71b6f8ce-e63b-475e-a8c1-62544759cbb4\\"},\\"result\\":{\\"response\\":\\"Q1: b ,c ,a \\"},\\"id\\":\\"41b844ff-66c1-4b24-8f13-d4e339dcfc63\\"}"	9/9/2019, 7:08:50 PM		on clicking check answers
1006	SetValue	cmi.core.score.min	0	9/9/2019, 7:08:52 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on clicking check answers
1007	SetValue	cmi.core.score.max	10	9/9/2019, 7:08:54 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on clicking check answers
1008	SetValue	cmi.core.score.raw	5	9/9/2019, 7:08:57 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on clicking check answers
1009	Statement	Statement	"{\\"actor\\":{\\"mbox\\":\\"mailto:deepak@nextsoftwaresolutions.com\\",\\"name\\":\\"nsstester\\",\\"objectType\\":\\"Agent\\"},\\"verb\\":{\\"id\\":\\"http://adlnet.gov/expapi/verbs/scored\\",\\"display\\":{\\"de-DE\\":\\"erreichte\\",\\"en-US\\":\\"scored\\",\\"fr-FR\\":\\"a marqué\\",\\"es-ES\\":\\"anotó\\",\\"ar-AR\\":\\"سحل النقاط\\"}},\\"object\\":{\\"id\\":\\"http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/lesson\\"}},\\"context\\":{\\"contextActivities\\":{\\"grouping\\":[{\\"id\\":\\"http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic?attemptId=0f7ff49e-aaae-4339-a5b5-be41b1a815ac\\",\\"objectType\\":\\"Activity\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/attempt\\"}},{\\"id\\":\\"\\",\\"objectType\\":\\"Activity\\",\\"definition\\":{\\"type\\":\\"http://adlnet.gov/expapi/activities/course\\"}},\\"\\"],\\"category\\":[{\\"id\\":\\"https://w3id.org/xapi/scorm\\"}]},\\"registration\\":\\"71b6f8ce-e63b-475e-a8c1-62544759cbb4\\"},\\"result\\":{\\"score\\":{\\"scaled\\":0.05}},\\"id\\":\\"f99bda73-c851-4fbf-a007-db9ebce319ec\\"}"	9/9/2019, 7:08:59 PM		on clicking check answers
1010	SetValue	cmi.core.lesson_status	incomplete	9/9/2019, 7:09:01 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on clicking check answers
1011	SetValue	cmi.interactions.0.result	correct	9/9/2019, 7:09:03 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on clicking check answers
1012	SetValue	cmi.interactions.0.correct_responses.0.pattern	1	9/9/2019, 7:09:05 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on clicking check answers
1013	SetValue	cmi.interactions.0.correct_responses.1.pattern	2	9/9/2019, 7:09:07 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on clicking check answers
1014	SetValue	cmi.interactions.0.correct_responses.2.pattern	0	9/9/2019, 7:09:09 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on clicking check answers
1015	SetValue	cmi.core.session_time	00:03:03.66	9/9/2019, 7:10:28 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on clicking finish button
1016	SetValue	cmi.core.lesson_location	index.html	9/9/2019, 7:10:30 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on clicking finish button
1017	SetValue	cmi.core.lesson_status	incomplete	9/9/2019, 7:10:32 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on clicking finish button
1018	GetValue	cmi.core.lesson_status	incomplete	9/9/2019, 7:10:40 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on clicking finish button
1019	GetValue	cmi.core.lesson_status	incomplete	9/9/2019, 7:10:42 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on clicking finish button
1020	GetValue	cmi.core.score.raw	5	9/9/2019, 7:10:44 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on clicking finish button
1021	GetValue	cmi.core.score.raw	5	9/9/2019, 7:10:46 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on clicking finish button
1022	GetValue	cmi.core.score.min	0	9/9/2019, 7:10:48 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on clicking finish button
1023	GetValue	cmi.core.score.max	10	9/9/2019, 7:10:50 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/qurdatic	on clicking finish button
