id	type	params_key	value	timestamp	activity_id	event
526	GetValue	cmi.launch_data		9/9/2019, 5:48:48 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/wwii	on launch
527	GetValue	cmi.core.entry	ab-initio	9/9/2019, 5:48:50 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/wwii	on launch
528	GetValue	cmi.core.lesson_location		9/9/2019, 5:48:54 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/wwii	on launch
529	GetValue	cmi.student_preference.language		9/9/2019, 5:48:56 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/wwii	on launch
530	GetValue	cmi.student_preference.audio		9/9/2019, 5:48:58 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/wwii	on launch
531	GetValue	cmi.student_preference.speed		9/9/2019, 5:49:00 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/wwii	on launch
532	GetValue	cmi.student_preference.text		9/9/2019, 5:49:02 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/wwii	on launch
533	GetValue	cmi.core.credit	credit	9/9/2019, 5:49:04 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/wwii	on launch
534	GetValue	cmi.core.lesson_mode		9/9/2019, 5:49:06 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/wwii	on launch
535	GetValue	cmi.suspend_data		9/9/2019, 5:49:08 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/wwii	on launch
536	GetValue	cmi.core.total_time	0000:00:00	9/9/2019, 5:49:10 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/wwii	on launch
537	GetValue	cmi.core.student_id	007	9/9/2019, 5:49:14 PM	http://nss-grassblade.com/wordpress/gb_xapi_content/wwii	on launch
